,Position,Country,Car,Points
Alan  Jones,1,AUS,Williams Ford,67
Nelson Piquet,2,BRA,Brabham Ford,54
Carlos Reutemann,3,ARG,Williams Ford,42
Jacques Laffite,4,FRA,Ligier Ford,34
Didier Pironi,5,FRA,Ligier Ford,32
Rene Arnoux,6,FRA,Renault,29
Elio de Angelis,7,ITA,Lotus Ford,13
Jean-Pierre Jabouille,8,FRA,Renault,9
Riccardo Patrese,9,ITA,Arrows Ford,7
Keke Rosberg,10,FIN,Fittipaldi Ford,6
Derek Daly,10,IRL,Tyrrell Ford,6
John Watson,10,GBR,McLaren Ford,6
Jean-Pierre Jarier,10,FRA,Tyrrell Ford,6
Gilles Villeneuve,10,CAN,Ferrari,6
Emerson Fittipaldi,15,BRA,Fittipaldi Ford,5
Alain Prost,15,FRA,McLaren Ford,5
Jochen Mass,17,GER,Arrows Ford,4
Bruno Giacomelli,17,ITA,Alfa Romeo,4
Jody Scheckter,19,RSA,Ferrari,2
Hector Rebaque,20,MEX,Brabham Ford,1
Mario Andretti,20,USA,Lotus Ford,1
