,Position,Driver,Car,Time,Laps
10,1,Juan Pablo Montoya,McLaren Mercedes,1:46.391,3
9,2,Kimi Räikkönen,McLaren Mercedes,1:46.440,3
6,3,Giancarlo Fisichella,Renault,1:46.497,3
16,4,Jarno Trulli,Toyota,1:46.596,3
5,5,Fernando Alonso,Renault,1:46.760,3
17,6,Ralf Schumacher,Toyota,1:47.401,3
1,7,Michael Schumacher,Ferrari,1:47.476,3
12,8,Felipe Massa,Sauber Petronas,1:47.867,3
3,9,Jenson Button,BAR Honda,1:47.978,3
7,10,Mark Webber,Williams BMW,1:48.071,3
4,11,Takuma Sato,BAR Honda,1:48.353,3
14,12,David Coulthard,RBR Cosworth,1:48.508,3
2,13,Rubens Barrichello,Ferrari,1:48.550,3
11,14,Jacques Villeneuve,Sauber Petronas,1:48.889,3
8,15,Antonio Pizzonia,Williams BMW,1:48.898,3
15,16,Christian Klien,RBR Cosworth,1:48.994,3
20,17,Robert Doornbos,Minardi Cosworth,1:49.779,3
21,18,Christijan Albers,Minardi Cosworth,1:49.842,3
18,19,Tiago Monteiro,Jordan Toyota,1:51.498,3
19,20,Narain Karthikeyan,Jordan Toyota,1:51.675,3
