,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Mika Hakkinen,McLaren Mercedes,70,1:18.448,196.961
3,2,Michael Schumacher,Ferrari,65,1:18.616,196.540
4,3,Eddie Irvine,Ferrari,63,1:18.816,196.041
11,4,Jean Alesi,Sauber Petronas,25,1:18.897,195.840
8,5,Heinz-Harald Frentzen,Jordan Mugen Honda,61,1:19.009,195.562
2,6,David Coulthard,McLaren Mercedes,3,1:19.310,194.820
18,7,Olivier Panis,Prost Peugeot,29,1:19.386,194.633
6,8,Ralf Schumacher,Williams Supertec,67,1:19.395,194.611
16,9,Rubens Barrichello,Stewart Ford,25,1:19.477,194.410
10,10,Alexander Wurz,Benetton Playlife,65,1:20.145,192.790
17,11,Johnny Herbert,Stewart Ford,14,1:20.324,192.360
9,12,Giancarlo Fisichella,Benetton Playlife,35,1:20.484,191.978
22,13,Jacques Villeneuve,BAR Supertec,39,1:20.727,191.400
12,14,Pedro Diniz,Sauber Petronas,30,1:20.833,191.149
19,15,Jarno Trulli,Prost Peugeot,15,1:20.969,190.828
7,16,Damon Hill,Jordan Mugen Honda,9,1:21.140,190.426
20,17,Stephane Sarrazin,Minardi Ford,20,1:21.225,190.227
5,18,Alessandro Zanardi,Williams Supertec,8,1:21.473,189.648
15,19,Toranosuke Takagi,Arrows,37,1:21.598,189.357
14,20,Pedro de la Rosa,Arrows,36,1:21.698,189.125
21,21,Marc Gene,Minardi Ford,60,1:21.731,189.049
