,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:14.907,1:14.261,1:13.447,22
77,2,Valtteri Bottas,Mercedes,1:15.474,1:14.530,1:13.554,20
18,3,Lance Stroll,Racing Point BWT Mercedes,1:14.895,1:15.176,1:14.377,22
11,4,Sergio Perez,Racing Point BWT Mercedes,1:14.681,1:15.394,1:14.545,22
5,5,Sebastian Vettel,Ferrari,1:15.455,1:15.131,1:14.774,20
16,6,Charles Leclerc,Ferrari,1:15.793,1:15.006,1:14.817,20
33,7,Max Verstappen,Red Bull Racing Honda,1:15.495,1:14.976,1:14.849,21
4,8,Lando Norris,McLaren Renault,1:15.444,1:15.085,1:14.966,20
55,9,Carlos Sainz,McLaren Renault,1:15.281,1:15.267,1:15.027,21
10,10,Pierre Gasly,AlphaTauri Honda,1:15.767,1:15.508,,14
3,11,Daniel Ricciardo,Renault,1:15.848,1:15.661,,14
63,12,George Russell,Williams Mercedes,1:15.585,1:15.698,,14
23,13,Alexander Albon,Red Bull Racing Honda,1:15.722,1:15.715,,16
31,14,Esteban Ocon,Renault,1:15.719,1:15.742,,14
6,15,Nicholas Latifi,Williams Mercedes,1:16.105,1:16.544,,14
20,16,Kevin Magnussen,Haas Ferrari,1:16.152,,,9
26,17,Daniil Kvyat,AlphaTauri Honda,1:16.204,,,9
8,18,Romain Grosjean,Haas Ferrari,1:16.407,,,8
99,19,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:16.506,,,12
7,20,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:16.614,,,12
