,mercedes
Season Position,3rd
Season Points,210
Grand Prix Races,12
Grand Prix Points,196
Grand Prix Wins,1
Grand Prix Podiums,6
Grand Prix Poles,1
Grand Prix Top 10s,17
DHL Fastest Laps,1
DNFs,4
Sprint Races,2
Sprint Points,14
Sprint Wins,0
Sprint Podiums,0
Sprint Poles,1
Sprint Top 10s,4
Full Team Name,Mercedes-AMG PETRONAS Formula One Team
Base,"Brackley, United Kingdom"
Team Chief,Toto Wolff
Technical Chief,James Allison
Chassis,W16
Power Unit,Mercedes
Reserve Driver,"Valtteri Bottas, Fred Vesti"
First Team Entry,1970
Drivers,George Russell / Kimi Antonelli
